\id JOS
\c 14
\level phrase
\separators .?!:;,
6.960	12.520	1a
12.520	14.680	1b
14.680	16.900	1c
16.900	21.560	1d
21.560	23.480	1e
23.480	26.020	2a
26.020	28.760	2b
28.760	30.480	2c
30.480	32.660	2d
32.660	39.240	3a
39.240	43.180	3b
43.180	46.680	4a
46.680	48.700	4b
48.700	52.280	4c
52.280	54.300	4d
54.300	58.700	4e
58.700	62.960	5a
62.960	66.060	5b
66.060	76.080	6a
76.080	80.860	6b
80.860	89.200	6c
89.200	97.120	7a
97.120	101.360	7b
101.360	102.520	8a
102.520	106.900	8b
106.900	110.800	8c
110.800	112.720	9a
112.720	113.500	9b
113.500	120.120	9c
120.120	123.980	9d
123.980	125.240	10a
125.240	126.640	10b
126.640	128.620	10c
128.620	129.700	10d
129.700	131.740	10e
131.740	135.320	10f
135.320	138.140	10g
138.140	139.120	10h
139.120	140.040	10i
140.040	142.360	10j
142.360	143.600	10k
143.600	149.160	11a
149.160	151.220	11b
151.220	154.680	11c
154.680	157.380	11d
157.380	161.360	12a
161.360	164.040	12b
164.040	167.640	12c
167.640	170.400	12d
170.400	173.180	12e
173.180	175.080	12f
175.080	176.740	12g
176.740	178.920	13a
178.920	184.280	13b
184.280	191.760	14a
191.760	193.880	14b
193.880	196.620	14c
196.620	200.780	15a
200.780	203.760	15b
203.760	208.800	15c
