\id LAM
\c 4
\level phrase
\separators .?!:;,
6.240	6.680	1a
6.680	9.080	1b
9.080	12.040	1c
12.040	13.800	1d
13.800	16.360	2a
16.360	18.820	2b
18.820	22.040	2c
22.040	24.600	2d
24.600	27.720	3a
27.720	29.680	3b
29.680	33.160	3c
33.160	36.020	3d
36.020	41.180	4a
41.180	43.920	4b
43.920	46.080	4c
46.080	50.160	5a
50.160	54.860	5b
54.860	60.600	6a
60.600	63.760	6b
63.760	65.820	6c
65.820	68.740	7a
68.740	70.720	7b
70.720	74.060	7c
74.060	77.080	7d
77.080	80.440	8a
80.440	82.980	8b
82.980	86.360	8c
86.360	87.300	8d
87.300	89.800	8e
89.800	95.560	9a
95.560	97.500	9b
97.500	99.040	9c
99.040	101.660	9d
101.660	106.560	10a
106.560	110.920	10b
110.920	113.820	11a
113.820	116.660	11b
116.660	119.520	11c
119.520	122.440	11d
122.440	125.520	12a
125.520	128.560	12b
128.560	133.300	12c
133.300	136.920	13a
136.920	139.460	13b
139.460	143.080	13c
143.080	146.440	14a
146.440	148.680	14b
148.680	151.580	14c
151.580	152.980	15a
152.980	154.400	15b
154.400	155.760	15c
155.760	156.760	15d
156.760	157.700	15e
157.700	159.080	15f
159.080	161.560	15g
161.560	163.920	15h
163.920	166.080	15i
166.080	168.980	16a
168.980	172.180	16b
172.180	175.460	16c
175.460	177.900	16d
177.900	180.300	17a
180.300	182.500	17b
182.500	187.280	17c
187.280	189.200	18a
189.200	191.660	18b
191.660	193.760	18c
193.760	195.880	18d
195.880	198.240	18e
198.240	202.320	19a
202.320	204.940	19b
204.940	208.180	19c
208.180	210.200	20a
210.200	211.940	20b
211.940	214.100	20c
214.100	215.740	20d
215.740	219.120	20e
219.120	221.280	21a
221.280	222.600	21b
222.600	225.080	21c
225.080	228.100	21d
228.100	229.860	21e
229.860	232.120	21f
232.120	235.900	22a
235.900	237.440	22b
237.440	241.160	22c
241.160	243.320	22d
243.320	244.640	22e
244.640	249.200	22f
