\id MIC
\c 1
\level phrase
\separators .?!:;,
2.480	11.440	1a
11.440	12.080	1b
12.080	13.500	1c
13.500	15.220	1d
15.220	19.360	1e
19.360	20.520	2a
20.520	21.560	2b
21.560	22.780	2c
22.780	23.880	2d
23.880	24.740	2e
24.740	26.880	2f
26.880	30.740	2g
30.740	33.320	2h
33.320	35.880	3a
35.880	38.180	3b
38.180	42.680	3c
42.680	45.420	4a
45.420	50.180	4b
50.180	54.060	4c
54.060	57.840	5a
57.840	61.180	5b
61.180	64.200	5c
64.200	66.280	5d
66.280	69.360	5e
69.360	71.660	5f
71.660	77.080	6a
77.080	80.040	6b
80.040	84.120	6c
84.120	87.280	6d
87.280	91.120	7a
91.120	95.300	7b
95.300	99.280	7c
99.280	103.600	7d
103.600	107.960	7e
107.960	111.800	8a
111.800	114.220	8b
114.220	116.960	8c
116.960	120.480	8d
120.480	123.140	9a
123.140	125.900	9b
125.900	128.720	9c
128.720	130.780	9d
130.780	133.180	10a
133.180	135.200	10b
135.200	139.420	10c
139.420	141.160	11a
141.160	143.280	11b
143.280	145.520	11c
145.520	149.260	11d
149.260	153.980	11e
153.980	158.860	12a
158.860	164.360	12b
164.360	167.700	13a
167.700	169.800	13b
169.800	173.760	13c
173.760	177.560	13d
177.560	182.640	14a
182.640	188.380	14b
188.380	190.420	15a
190.420	192.560	15b
192.560	196.880	15c
196.880	198.940	16a
198.940	202.580	16b
202.580	205.860	16c
205.860	211.040	16d
