\id HEB
\c 3
\level phrase
\separators .?!:;,
5.920	6.280	1a
6.280	6.520	1b
6.520	8.020	1c
8.020	11.740	1d
11.740	13.160	1e
13.160	16.160	2a
16.160	19.860	2b
19.860	23.860	3a
23.860	28.260	3b
28.260	31.240	4a
31.240	35.020	4b
35.020	39.680	5a
39.680	43.900	5b
43.900	48.040	6a
48.040	49.920	6b
49.920	55.920	6c
55.920	57.200	7a
57.200	60.200	7b
60.200	63.260	7c
63.260	67.160	8a
67.160	70.080	8b
70.080	74.080	9a
74.080	77.280	9b
77.280	81.320	10a
81.320	82.260	10b
82.260	85.360	10c
85.360	88.400	10d
88.400	90.320	11a
90.320	93.380	11b
93.380	94.560	12a
94.560	95.320	12b
95.320	101.120	12c
101.120	103.880	12d
103.880	106.860	13a
106.860	109.920	13b
109.920	114.600	13c
114.600	117.920	14a
117.920	122.580	14b
122.580	124.180	15a
124.180	126.900	15b
126.900	128.960	15c
128.960	130.600	15d
130.600	131.820	16a
131.820	133.020	16b
133.020	134.680	16c
134.680	138.720	16d
138.720	142.420	17a
142.420	145.040	17b
145.040	147.560	17c
147.560	151.540	18a
151.540	153.940	18b
153.940	160.400	19
