\id 2JN
\c 1
\level phrase
\separators .?!:;,
2.320	5.400	1a
5.400	9.040	1b
9.040	11.100	1c
11.100	12.660	1d
12.660	15.560	1e
15.560	17.340	2a
17.340	19.240	2b
19.240	21.580	2c
21.580	22.880	3a
22.880	23.640	3b
23.640	25.960	3c
25.960	30.140	3d
30.140	32.160	3e
32.160	34.800	3f
34.800	39.920	4a
39.920	43.280	4b
43.280	45.080	5a
45.080	46.160	5b
46.160	48.960	5c
48.960	51.660	5d
51.660	53.960	5e
53.960	55.660	6a
55.660	59.060	6b
59.060	61.000	6c
61.000	63.440	6d
63.440	65.480	6e
65.480	68.880	7a
68.880	73.400	7b
73.400	76.780	7c
76.780	78.240	8a
78.240	81.340	8b
81.340	84.380	8c
84.380	91.080	9a
91.080	96.160	9b
96.160	100.640	10a
100.640	102.660	10b
102.660	104.320	10c
104.320	108.920	11
108.920	111.880	12a
111.880	114.800	12b
114.800	118.860	12c
118.860	121.480	12d
121.480	124.920	13a
124.920	131.280	13b
